,property_name,host_name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,country,lat,long,availability_365,review_rating
3996,Sydney City PrivateRM203 1min Station 2Bed sleeps4,Ken,House,Private room,Real Bed,1,1125,moderate,4,1.0,2.0,8,2.0,108.0,75.0,25.0,2,Australia,151.20777,-33.88444,358,68.0
3997,Quiet & Gated Split-level guest unit,Dennis,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,2,1.0,1.0,1,1.0,90.0,50.0,10.0,1,United States,-155.99225,19.72261,175,100.0
3998,Conforto e tranquilidade no coração de Ipanema,Ana Paula,Apartment,Entire home/apt,Real Bed,6,24,flexible,6,3.0,5.0,0,3.0,981.0,94.07480119284294,0.0,1,Brazil,-43.200836728464765,-22.98213533255516,0,93.09924038225925
3999,Heart of Asian side,Ilkiz,Bed and breakfast,Shared room,Real Bed,2,1125,flexible,1,1.0,1.0,0,1.0,200.0,94.07480119284294,0.0,1,Turkey,29.06321,40.97658,0,93.09924038225925
4000,"Wailea Ekahi #53C Hawaiian Beachfront, 1575 Sqft. Townhome, Renovated!",Rentals Maui,Condominium,Entire home/apt,Real Bed,3,29,super_strict_60,6,2.0,3.0,0,2.5,553.0,363.0,0.0,6,United States,-156.43838,20.69657,219,93.09924038225925
4001,Spacious Bondi Beach Studio- 600m from the beach,Patrycia,Apartment,Entire home/apt,Real Bed,5,14,strict_14_with_grace_period,2,0.0,1.0,1,1.0,161.0,35.0,0.0,1,Australia,151.27117,-33.8871,16,100.0
4002,Good apartment without any noises,Mahtab,Apartment,Entire home/apt,Real Bed,2,45,flexible,3,1.0,1.0,0,1.0,227.0,94.07480119284294,0.0,1,Turkey,28.98602,41.03046,343,93.09924038225925
4003,Eric Vökel Boutique Apartments - Sagrada Familia Suites - 2 Bedroom 2 Bathrooms Apartment,Eric,Apartment,Entire home/apt,Real Bed,1,1125,moderate,6,2.0,0.0,1,2.0,140.0,94.07480119284294,20.0,4,Spain,2.17424,41.40953,320,100.0
4004,"Maui Kamaole #H-205 2B/2Ba 3 Mins to Beach Low-Density Property, Ocean View!",Rentals Maui,Condominium,Entire home/apt,Real Bed,3,29,super_strict_60,6,2.0,4.0,0,2.0,326.0,206.0,0.0,6,United States,-156.44389,20.70777,188,93.09924038225925
4005,Oma'oma'o Falls ~ Pristine Private Home,Sierra,House,Entire home/apt,Real Bed,4,60,strict_14_with_grace_period,4,2.0,2.0,7,2.0,200.0,175.0,30.0,2,United States,-155.0981,19.72096,312,100.0
4006,Rooms in Barcelona (3 people=2 rooms),Gabriela,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3,2.0,3.0,38,1.0,25.0,15.0,25.0,1,Spain,2.20206,41.42322,306,94.0
4007,Cozy 2BR condo in Montreal Downtown,Kyle,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,2.0,4.0,6,1.0,200.0,65.0,25.0,4,Canada,-73.58377,45.4918,151,83.0
4008,Gorgeous Flat in Moda,Garo,Apartment,Entire home/apt,Real Bed,3,1125,flexible,4,2.0,2.0,0,1.5,501.0,0.0,0.0,1,Turkey,29.02645,40.98349,363,93.09924038225925
4009,"Tatlı, huzurlu",Damla,Apartment,Entire home/apt,Real Bed,3,15,flexible,3,1.0,2.0,1,1.0,301.0,0.0,0.0,1,Turkey,28.98678,41.03547,178,100.0
4010,"Today Apartment 多利公寓#4A3 @油麻地,獨立浴室,有窗,有電梯,免費WI-FI",Timmy,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,3,1.0,1123.0,50.0,0.0,1,Hong Kong,114.17068,22.31091,16,87.0
4011,Dorm 3baths SohoEast..,Chile,Apartment,Shared room,Real Bed,3,1125,strict_14_with_grace_period,12,1.0,12.0,0,3.0,251.0,250.0,250.0,1,Hong Kong,114.22231,22.28146,0,93.09924038225925
4012,Large bright room in a loft + rooftop !!,Cyril,Apartment,Private room,Real Bed,2,1125,flexible,2,1.0,1.0,2,1.0,40.0,0.0,0.0,1,Canada,-73.58686,45.52003,4,100.0
4013,"UWS Apt., Close to Museums, Subways & Central Pk.",Katherine,Apartment,Entire home/apt,Real Bed,1,7,moderate,3,1.0,0.0,0,1.0,210.0,125.0,0.0,1,United States,-73.97417,40.79598,310,93.09924038225925
4014,Welcome to a homely room in heart of downtown MTL,Loise,Apartment,Private room,Real Bed,1,7,moderate,2,1.0,1.0,6,1.0,39.0,45.0,0.0,1,Canada,-73.57847,45.5021,69,87.0
4015,Oporto Palace Apartments Five,Gonçalo,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,1.0,0,1.0,80.0,20.0,0.0,1,Portugal,-8.62206,41.15153,365,93.09924038225925
4016,BCN11# Double room with bathroom A/C,Cristina And Lorenzo,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,13,1.0,40.0,20.0,0.0,1,Spain,2.18541,41.38394,277,95.0
